iter	Passed	Remaining
0	14	4189
1	26	3931
2	38	3805
3	50	3735
4	62	3684
5	78	3837
6	90	3789
7	101	3722
8	113	3671
9	124	3619
10	137	3608
11	149	3580
12	160	3546
13	172	3521
14	183	3492
15	194	3461
16	208	3472
17	222	3488
18	234	3463
19	246	3446
20	258	3434
21	269	3409
22	281	3395
23	293	3377
24	306	3371
25	317	3350
26	329	3330
27	341	3320
28	356	3327
29	367	3308
30	385	3348
31	398	3333
32	409	3316
33	422	3301
34	434	3288
35	445	3268
36	457	3248
37	468	3231
38	481	3219
39	494	3216
40	508	3211
41	519	3194
42	531	3174
43	542	3156
44	554	3140
45	566	3128
46	577	3111
47	589	3096
48	602	3086
49	614	3071
50	627	3061
51	640	3054
52	653	3045
53	673	3068
54	694	3092
55	714	3111
56	732	3123
57	750	3133
58	773	3157
59	792	3171
60	813	3185
61	831	3192
62	849	3196
63	865	3191
64	880	3182
65	895	3174
66	913	3178
67	931	3177
68	947	3170
69	967	3177
70	980	3163
71	996	3156
72	1013	3151
73	1029	3145
74	1045	3135
75	1061	3127
76	1083	3136
77	1097	3123
78	1111	3110
79	1125	3093
80	1137	3076
81	1151	3060
82	1168	3053
83	1187	3052
84	1207	3053
85	1226	3052
86	1245	3049
87	1264	3045
88	1283	3042
89	1301	3037
90	1320	3033
91	1340	3031
92	1358	3023
93	1377	3017
94	1396	3012
95	1415	3008
96	1434	3001
97	1453	2996
98	1473	2992
99	1493	2986
100	1511	2977
101	1530	2970
102	1550	2964
103	1569	2957
104	1587	2947
105	1604	2935
106	1622	2926
107	1636	2909
108	1649	2891
109	1664	2874
110	1678	2858
111	1693	2842
112	1706	2824
113	1720	2806
114	1733	2788
115	1748	2773
116	1763	2758
117	1778	2743
118	1792	2725
119	1806	2709
120	1824	2699
121	1840	2684
122	1861	2679
123	1877	2664
124	1897	2655
125	1914	2643
126	1930	2629
127	1946	2615
128	1962	2600
129	1977	2585
130	1993	2571
131	2008	2556
132	2024	2541
133	2042	2529
134	2058	2516
135	2074	2501
136	2098	2496
137	2116	2484
138	2131	2469
139	2146	2453
140	2160	2436
141	2178	2424
142	2194	2409
143	2209	2394
144	2224	2377
145	2238	2361
146	2253	2345
147	2268	2329
148	2283	2314
149	2298	2298
150	2316	2285
151	2331	2270
152	2346	2254
153	2363	2240
154	2377	2224
155	2392	2208
156	2406	2192
157	2420	2175
158	2434	2158
159	2448	2142
160	2464	2128
161	2480	2113
162	2496	2097
163	2510	2081
164	2524	2065
165	2538	2048
166	2553	2033
167	2567	2017
168	2584	2003
169	2600	1988
170	2616	1974
171	2630	1957
172	2645	1942
173	2660	1926
174	2673	1909
175	2689	1894
176	2704	1879
177	2718	1863
178	2733	1847
179	2750	1833
180	2765	1818
181	2779	1802
182	2795	1787
183	2814	1774
184	2834	1761
185	2848	1746
186	2863	1730
187	2879	1715
188	2894	1699
189	2908	1683
190	2924	1668
191	2943	1655
192	2958	1640
193	2972	1623
194	2985	1607
195	3001	1592
196	3016	1577
197	3033	1562
198	3049	1547
199	3064	1532
200	3077	1515
201	3091	1499
202	3105	1483
203	3119	1467
204	3132	1451
205	3147	1436
206	3162	1420
207	3177	1405
208	3193	1390
209	3216	1378
210	3230	1362
211	3245	1347
212	3260	1331
213	3277	1317
214	3295	1302
215	3311	1287
216	3325	1272
217	3339	1256
218	3355	1240
219	3369	1225
220	3383	1209
221	3398	1193
222	3411	1178
223	3429	1163
224	3443	1147
225	3460	1133
226	3474	1117
227	3488	1101
228	3502	1085
229	3515	1070
230	3531	1054
231	3545	1039
232	3560	1023
233	3577	1008
234	3591	993
235	3605	977
236	3619	962
237	3633	946
238	3647	930
239	3661	915
240	3675	899
241	3690	884
242	3703	868
243	3720	853
244	3733	838
245	3749	823
246	3772	809
247	3790	794
248	3804	779
249	3818	763
250	3834	748
251	3849	733
252	3865	718
253	3880	702
254	3895	687
255	3909	672
256	3923	656
257	3937	640
258	3951	625
259	3964	609
260	3978	594
261	3995	579
262	4013	564
263	4027	549
264	4042	533
265	4056	518
266	4069	503
267	4083	487
268	4098	472
269	4111	456
270	4126	441
271	4142	426
272	4156	411
273	4170	395
274	4183	380
275	4197	365
276	4212	349
277	4227	334
278	4241	319
279	4256	304
280	4269	288
281	4285	273
282	4301	258
283	4314	243
284	4329	227
285	4343	212
286	4358	197
287	4373	182
288	4386	166
289	4403	151
290	4424	136
291	4440	121
292	4457	106
293	4472	91
294	4485	76
295	4499	60
296	4513	45
297	4526	30
298	4541	15
299	4555	0
